close,open,volume,MACD,ATR,USDollarIndex,FederalFundRate
873.29,904.36,1301018496.00,3.89,48.54,86.32,0.34
850.75,873.23,1153277440.00,-0.32,44.11,86.76,0.37
859.12,852.34,1456286336.00,-1.14,43.50,87.11,0.38
806.58,859.03,1484241152.00,-7.57,45.19,87.46,0.38
752.44,805.87,2022876416.00,-17.37,47.54,88.22,0.49
800.03,755.84,2109752576.00,-15.73,50.64,87.65,0.57
851.81,801.20,1769567744.00,-6.45,52.38,85.87,0.62
857.39,853.40,1550100224.00,1.26,50.81,84.77,0.59
887.68,852.90,1142586496.00,10.72,50.33,85.78,0.53
896.24,886.89,611338176.00,18.00,49.51,86.55,0.52
816.21,888.61,1340409984.00,12.17,52.09,87.05,0.52
848.81,817.94,1320162560.00,12.78,52.09,86.57,0.47
870.74,843.60,1344321920.00,16.01,51.88,86.70,0.36
845.22,869.75,1267856768.00,14.61,48.14,86.52,0.20
876.07,844.43,1413841408.00,17.55,49.14,86.82,0.12
909.70,882.71,1462091264.00,23.37,49.80,85.51,0.12
888.67,906.48,1251138944.00,23.66,49.21,85.84,0.13
899.24,892.17,1067234560.00,24.45,46.67,85.45,0.11
873.59,898.35,1182417664.00,20.82,44.04,83.63,0.14
879.73,871.79,1174632064.00,18.64,42.02,83.66,0.15
868.57,881.07,985678976.00,15.22,39.26,82.13,0.18
913.18,871.53,1319279360.00,18.29,40.13,80.35,0.17
904.42,908.16,1099929472.00,18.41,38.45,78.49,0.12
885.28,905.98,1181366272.00,15.31,39.78,79.78,0.11
887.88,886.96,2087318400.00,13.09,35.63,81.10,0.11
871.63,887.20,953827328.00,9.11,35.38,81.26,0.11
863.16,874.31,761317184.00,5.21,33.58,81.45,0.11
868.15,863.87,295561856.00,3.26,31.17,80.98,0.11
872.80,869.51,374272096.00,2.58,27.33,81.13,0.09
869.42,872.37,676565952.00,1.72,25.48,81.53,0.10
890.64,870.58,717572608.00,3.91,24.83,80.94,0.09
903.25,890.59,1010761024.00,6.80,24.67,81.17,0.14
931.80,902.99,869505536.00,11.99,24.64,81.48,0.08
927.45,929.17,1050649472.00,14.13,23.58,82.55,0.11
934.70,931.17,1080029568.00,15.69,22.84,82.78,0.09
906.65,927.45,1086024960.00,12.26,21.86,82.17,0.11
909.73,905.73,1014764928.00,9.83,21.16,81.58,0.10
890.35,909.91,992583040.00,5.27,20.45,82.52,0.09
870.26,890.40,1072145152.00,-0.50,20.71,83.20,0.10
871.79,869.79,1191585152.00,-3.95,19.58,84.25,0.10
842.62,867.28,1255624320.00,-9.69,20.62,84.28,0.15
843.74,841.99,1494092288.00,-12.66,22.49,84.62,0.18
850.12,844.45,1535860608.00,-13.05,23.94,84.04,0.19
805.22,849.64,1503896448.00,-18.32,26.01,86.13,0.20
840.24,806.77,1518196096.00,-16.12,27.13,85.46,0.23
827.50,839.74,1476960128.00,-15.41,27.73,85.56,0.21
831.95,822.16,1322731392.00,-13.46,27.52,85.58,0.18
836.57,832.50,1161514240.00,-10.77,28.08,84.48,0.19
845.71,837.30,1055064512.00,-7.15,27.97,84.52,0.18
874.09,845.73,1378814336.00,-0.68,27.96,84.49,0.19
845.14,868.89,1275456896.00,-0.07,29.15,85.38,0.23
825.88,845.69,1364074368.00,-1.92,29.61,85.84,0.23
825.44,823.09,1217063040.00,-2.82,29.02,85.95,0.24
838.51,825.69,1256948608.00,-1.35,29.42,84.88,0.24
832.23,837.77,1286424064.00,-0.93,28.55,85.70,0.24
845.85,831.75,1526517632.00,1.35,28.27,86.09,0.23
868.60,846.09,1398180352.00,5.84,28.12,85.29,0.23
869.89,868.24,1118605824.00,8.73,25.82,84.88,0.22
827.16,866.87,1636406784.00,4.82,26.49,85.58,0.24
833.74,827.41,1164000128.00,3.14,25.56,85.71,0.22
835.19,829.91,1337853568.00,2.28,25.20,86.10,0.23
826.84,833.95,1054364224.00,0.73,24.44,86.11,0.22
789.17,818.61,1390224896.00,-4.93,26.05,87.76,0.25
788.42,791.06,1227987968.00,-8.13,24.88,88.14,0.23
778.94,787.91,1307362560.00,-10.72,24.21,87.50,0.21
770.05,775.87,1900729344.00,-12.69,23.83,86.62,0.20
743.33,773.25,1414032128.00,-16.42,25.09,87.33,0.19
773.14,744.69,1626748544.00,-13.81,25.91,86.89,0.21
764.90,770.64,1664718080.00,-12.18,26.24,87.86,0.21
752.83,765.76,1359355776.00,-11.71,26.02,87.80,0.22
735.09,749.93,2002029696.00,-12.69,25.52,88.15,0.22
700.82,729.57,1695383936.00,-16.61,27.10,88.91,0.22
696.33,704.44,1635332864.00,-18.33,25.13,89.07,0.20
712.87,698.60,1593371008.00,-15.85,25.98,88.48,0.21
682.55,708.27,1686517504.00,-16.82,26.52,89.10,0.20
683.38,684.04,1603429120.00,-15.88,27.81,88.59,0.20
676.53,680.76,1363557376.00,-14.74,26.72,89.17,0.20
719.60,679.28,1914481408.00,-7.12,28.67,88.62,0.20
721.36,719.59,1549871744.00,-1.11,28.49,87.63,0.19
750.74,720.89,1546953728.00,7.11,29.43,87.36,0.18
756.55,751.97,1441451136.00,13.27,28.03,87.26,0.15
753.89,758.84,1658266496.00,16.69,27.24,87.00,0.20
778.12,753.88,1312524160.00,21.61,27.31,86.88,0.20
794.35,776.01,1884770048.00,26.15,28.01,84.10,0.18
784.04,797.92,1688439680.00,26.76,28.23,83.07,0.17
768.54,784.58,2272174080.00,24.15,27.32,83.71,0.18
822.92,772.31,1639745536.00,28.53,29.86,83.47,0.17
806.12,820.60,1330429568.00,27.91,29.17,84.10,0.17
813.88,806.81,1536369280.00,27.25,29.20,83.77,0.17
832.86,814.06,1522704512.00,27.98,28.26,84.12,0.16
815.94,828.68,1177612416.00,24.89,28.05,85.14,0.15
787.53,809.07,1296681984.00,18.05,27.55,85.67,0.16
797.87,790.88,1427145856.00,14.12,27.90,85.60,0.16
811.08,793.59,1326005120.00,12.56,27.36,85.47,0.16
834.38,814.53,1620003584.00,13.82,28.70,84.30,0.16
842.50,835.13,1263482112.00,14.81,28.31,84.17,0.13
835.48,839.75,1082299904.00,13.62,27.71,84.73,0.14
815.55,834.12,1073911168.00,9.44,26.53,85.23,0.14
