Closing Price,Open Price,Volume,MACD,ATR,US Dollar Index,SHIBOR,label
1705.82,1614.62,467928.04,-121.937189,108.632,86.15,2.2946,1658.22
1658.22,1723.23,388694.88,-126.8293375,73.603,84.48,2.2963,1697.66
1697.66,1669.97,412842.92,-126.0712163,77.584,84.53,2.2942,1663.66
1663.66,1688.09,283145.34,-126.7524694,42.568,85.59,2.2921,1653.54
1653.54,1648.56,253810.97,-126.648876,41.141,86.3,2.2938,1627.76
1627.76,1646.2,261001.65,-127.1811845,46.811,84.74,2.3342,1691.42
1691.42,1641.26,424182.1,-121.0705068,86.902,84.57,2.1942,1649.78
1649.78,1648.13,307841.79,-118.2252464,53.076,86.222,2.2463,1677.83
1677.83,1618.75,315215.9,-112.4110709,77.366,86.09,2.2462,1801.67
1801.67,1714.12,639488.59,-96.69595256,125.292,85.87,2.1788,1781.36
1781.36,1795.3,660728.51,-84.90128203,46.597,87.04,2.1921,1801.82
1801.82,1758.48,440879.6,-73.06061101,51.942,87.43,2.1938,1874.08
1874.08,1777.03,832345.52,-57.18688175,126.307,86.9,2.2042,1943.65
1943.65,1893.31,911687.17,-38.54859378,69.572,86.32,2.1658,1987.23
1987.23,1934.74,878366.26,-20.03089701,67.258,86.76,2.1938,1839.82
1839.82,1974.38,972783.53,-17.05334089,163.063,87.11,2.2175,1953.16
1953.16,1831.6,821174.08,-5.484471099,136.249,87.46,2.2175,1932.43
1932.43,1916.7,831870.38,1.987885246,76.682,88.22,2.2425,1920.74
1920.74,1872.27,830493.29,6.886866597,133.806,87.65,2.1875,1837.64
1837.64,1913.99,505615.17,4.018115614,88.07,85.867,2.1958,1834.29
1834.29,1870.06,428145.9,1.457651276,81.544,84.77,2.195,1843.5
1843.5,1832.11,455656.35,0.168960968,50.637,85.78,2.2046,1870.47
1870.47,1961.89,880083.22,1.309469007,125.529,85.53,1.5492,1829.92
1829.92,1851.1,515906.6,-1.046571351,55.026,86.55,1.5942,1864.21
1864.21,1823.77,483863.33,-0.14587851,64.461,87.05,1.4992,1868.63
1868.63,1821.54,613502.35,0.914526177,76.23,86.57,1.4933,1952.67
1952.67,1884.6,850191.44,8.438711887,84.037,86.7,1.494,1982.93
1982.93,1980.45,1191834.41,16.65146466,93.805,86.52,1.4936,2013.18
2013.18,1969.74,743663.26,25.30906339,49.108,86.82,1.435,2095.04
2095.04,2040.47,1076071.31,38.33388218,82.29,85.51,1.43,2040.85
2040.85,2104.12,925098.14,43.7788897,69.527,85.84,1.4092,2096.39
2096.39,2028.51,832710.62,51.97703645,82.11,85.45,1.1433,2046.34
2046.34,2087.43,735562.36,53.81468377,63.672,83.63,1.1156,1960.38
1960.38,2027.07,673872.66,47.78419454,110.057,83.66,1.1071,1975.03
1975.03,1991.55,504510.96,43.68388309,65.171,82.13,1.0938,1994.45
1994.45,1957,479248.78,41.52242104,75.09,80.35,1.0321,2001.42
2001.42,2002.03,586851.5,39.91178928,35.938,78.49,0.9612,2045.1
2045.1,2001.05,584292.24,41.67966708,63.517,79.78,0.9449,2052.11
2052.11,2037.37,633112.27,43.14913639,42.272,81.1,0.9221,2017.55
2017.55,2050.77,529494.64,41.05138002,62.04,81.26,0.9133,1918.96
1918.96,2019.23,635904.64,31.07496828,100.799,81.45,0.91,1887.08
1887.08,1893.23,442018.31,20.36142668,46.308,80.98,0.9004,1870.77
1870.77,1891.53,399168.34,10.4345046,54.006,80.98,0.9046,1862.1
1862.1,1868.34,345608.88,1.846545662,30.575,81.13,0.8993,1854.76
1854.76,1852.41,359868.73,-5.488402746,46.037,81.53,0.8889,1833.44
1833.44,1852.95,375846.27,-12.87351158,42.88,80.94,0.8892,1817.72
1817.72,1835.11,356313.55,-19.76631752,30.69,81.17,0.9471,1882.96
1882.96,1848.33,481870.2,-19.7373157,65.237,82.55,0.9086,1942.8
1942.8,1880.67,709740.97,-14.71642464,75.478,82.78,0.8967,1931.18
1931.18,1942.67,597021.67,-11.54168179,28.378,82.17,0.8894,1887.99
1887.99,1894.66,534464.9,-12.36793532,57.53,81.58,0.8829,1918.37
1918.37,1886.49,474072.16,-10.45134267,36.935,82.52,0.8363,1920.69
1920.69,1911.74,542341.56,-8.645404351,41.466,83.2,0.8333,1876.19
1876.19,1892.66,498181.37,-10.68198938,45.713,84.25,0.8217,1955.24
1955.24,1873.63,592832.31,-5.849171504,81.618,84.28,0.8204,1954.87
1954.87,1935.39,789436.48,-2.025634176,46.896,84.62,0.82,1990.21
1990.21,1965.44,965386.33,3.812244177,71.773,84.04,0.8136,2012.47
2012.47,2010.58,819481.77,10.11764466,61.976,85.03,0.8142,2025.19
2025.19,2006.53,532592.62,15.95757217,39.129,86.13,0.8167,2021.71
2021.71,1993.67,641174.28,20.07355444,58.864,85.46,0.9133,2044.55
2044.55,2034.29,588619.47,24.89164249,35.746,85.56,0.8942,2032.68
2032.68,2039.52,575041.09,27.43601754,29.138,85.58,0.8775,2057.06
2057.06,2052.44,514539.06,31.06173569,29.621,85.95,0.8063,2108.91
2108.91,2056.8,876403.02,37.68436118,59.055,84.88,0.8264,2166.41
2166.41,2118.56,1008884.28,47.03079014,57.504,85.7,0.8156,2150.97
2150.97,2164.55,1151001.22,52.58560725,75.509,86.09,0.8263,2237.28
2237.28,2158.08,1066649.04,63.22345418,89.05,85.29,0.8242,2296.67
2296.67,2271.59,1295236.7,75.5752778,70.627,84.88,0.8328,2326.76
2326.76,2288.07,1162945.48,86.79115924,63.568,85.58,0.8321,2331.14
2331.14,2287.23,1475766.37,94.93909872,105.619,85.71,0.8388,2318.34
2318.34,2335.4,1198262.18,99.22020118,96.175,86.1,0.8292,2399.07
2399.07,2321.56,1404099.1,107.8829886,95.346,86.11,0.8346,2462.25
2462.25,2421.19,1523466.69,118.4806369,65.208,86.46,0.8204,2385.29
2385.29,2460.57,1410149.91,119.29481,85.836,87.76,0.8196,2275.84
2275.84,2331.66,1154220.62,109.8421558,112.788,88.14,0.8163,2298.41
2298.41,2295.65,908539.28,102.9848437,65.082,87.5,0.8238,2344.32
2344.32,2300.81,866320.69,100.1008659,68.472,86.62,0.8213,2410.48
2410.48,2333.81,1094654.03,101.9783891,111.612,87.33,0.8238,2301.85
2301.85,2376.7,1270175.55,93.62143564,117.384,86.89,0.815,2304.25
2304.25,2325.04,1078775.28,86.19866655,110.979,87.86,0.8113,2190.19
2190.19,2295.43,1022003.85,70.30150369,165.197,87.8,0.8067,2140.49
2140.49,2164.54,870764.15,53.08095154,73.124,88.15,0.8067,2164.67
2164.67,2123.37,627461.81,40.9128044,64.958,88.91,0.8046,2142.15
2142.15,2109.84,661673.14,29.11728395,67.578,89.07,0.8025,2285.15
2285.15,2150.24,1107500.33,30.95096696,148.786,88.48,0.8008,2304.92
2304.92,2314.08,1319873.47,33.61198964,80.571,89.1,0.8025,2286.58
2286.58,2260.76,859654.5,33.8505346,57.382,88.59,0.8008,2202.53
2202.53,2302.01,865559.48,26.94690418,135.435,89.17,0.8067,2240.78
2240.78,2175.31,566604.49,24.28267062,72.914,88.62,0.8033,2220.38
2220.38,2288.05,708386.76,20.29107257,79.514,87.63,0.8042,2215.7
2215.7,2208.04,557001.11,16.55918154,63.782,87.36,0.8033,2205.42
2205.42,2229.25,540830.94,12.62672924,49.265,87.26,0.8029,2241.61
2241.61,2197.25,487738.54,12.28896485,67.059,87,0.8046,2322.4
2322.4,2244.11,929805.28,18.32899599,89.63,86.88,0.8046,2332.65
2332.65,2335.42,1018700.71,23.66992073,48.155,84.1,0.8042,2382.56
2382.56,2337.52,973187.66,31.56624728,54.969,83.07,0.8063,2379.84
2379.84,2389.89,1093967.38,37.17563991,53.938,83.71,0.8046,2439.4
2439.4,2384.67,1163130.49,45.89779493,72.829,83.47,0.8058,2451.78
2451.78,2477.57,1119935.25,53.1965569,44.438,84.1,0.8033,2401.33
2401.33,2435.63,958166.6,54.28375153,71.886,83.77,0.8025,2479.79
2479.79,2407.76,1132494.52,60.77600086,99.875,84.12,0.8029,2498.93
2498.93,2501,1353685.46,66.69691415,36.595,85.14,0.8021,2484.49
2484.49,2501.31,941516.65,69.42349961,36.771,85.67,0.8038,2507.79
2507.79,2436.78,954617.52,72.6274113,84.328,85.6,0.8025,2548.22
2548.22,2519.89,1263076.25,77.53536022,58.747,85.47,0.8025,2576.4
2576.4,2558.77,1351468.06,82.74484315,51.03,84.3,0.8033,2570.5
2570.5,2597.92,1236552.16,85.41296975,56.755,84.17,0.8021,2576.95
2576.95,2570.63,860832.57,87.04430575,53.416,85.23,0.8021,2479.35
2479.35,2563.72,993280.94,79.54454557,97.602,85.2,0.8021,2517.67
2517.67,2477.42,745937.03,75.8191204,60.318,85.66,0.8025,2595.53
2595.53,2540.11,1041444.08,78.24743835,77.929,85.52,0.8021,2656.52
2656.52,2621.98,1390145.41,84.12339755,72.752,84.59,0.8025,2676.87
2676.87,2651.2,1104913.04,89.39207901,45.525,84.78,0.8008,2686.99
2686.99,2662.73,1206652.92,93.3083841,62.834,84.95,0.8013,2687.11
2687.11,2690.52,1237296.13,95.32262444,63.309,85.19,0.8008,2650.69
2650.69,2675.67,1015288.08,92.90953498,64.666,85.88,0.8029,2707.67
2707.67,2643.73,959036.94,94.50523372,67.463,86.67,0.8013,2675.44
2675.44,2670.28,1081852.52,92.10778705,73.138,86.5,0.8233,2576.28
2576.28,2687.86,1240464.13,81.26950504,149.944,86.28,0.8296,2593.56
2593.56,2555.53,808879.42,73.23052621,60.255,85.42,0.8129,2572.89
2572.89,2605.7,733609.69,64.44827753,39.495,84.76,0.8129,2513.29
2513.29,2566.92,720393.9,52.0790482,77.077,85.72,0.8121,2518.53
2518.53,2490.53,592649.83,42.21248906,45.742,85.2,0.8079,2605.37
2605.37,2518.85,818850.06,40.92855254,101.669,84.66,0.8083,2622.93
2622.93,2616.49,858093.48,40.85667574,35.565,84.79,0.8067,2714.3
2714.3,2635.13,1029165.65,47.62393266,92.263,83.71,0.8138,2727.01
2727.01,2733.11,1023137.22,53.39733415,38.018,84.16,0.81,2764.98
2764.98,2721.82,1058066.5,60.34068478,57.667,83.98,0.8092,2767.08
2767.08,2783.58,1221011.61,65.26027078,65.675,83.84,0.8083,2789.22
2789.22,2751.5,1067249.88,70.13733365,66.891,82.43,0.8079,2725.32
2725.32,2808.14,1253644.52,68.06143323,114.342,82.8,0.8067,2788.56
2788.56,2702.74,886959.42,70.70465162,88.658,82.29,0.8071,2814.01
2814.01,2792.42,1071128.56,73.99943922,47.139,82.57,0.8079,2792.6
