ClosePrice,OpenPrice,Volume,MACD,ATR,USDollarIndex,FederalFundRate,label
968.75,953.11,639435,-51.3388776,39.79,85.59,0.22,966.3
966.3,968.67,449228,-45.61911461,16.75,86.3,0.23,1005.75
1005.75,971.31,553129,-37.47093433,41.21,84.74,0.23,952.77
952.77,1001.84,542664,-34.88633799,55.89,84.57,0.23,904.88
904.88,952.4,610223,-36.28408914,53.04,86.222,0.23,930.99
930.99,907.44,493164,-34.88285043,26.58,86.09,0.27,919.21
919.21,936.75,457200,-34.32720357,44.48,85.87,0.29,898.95
898.95,917.15,499834,-35.11685684,34.31,87.04,0.29,852.3
852.3,893.39,576418,-39.05670648,48.47,87.43,0.35,911.29
911.29,853.13,784912,-36.9926376,94.32,86.9,0.35,873.29
873.29,904.36,588103,-37.98526013,47,86.32,0.34,850.75
850.75,873.23,492749,-40.12813807,33.31,86.76,0.37,859.12
859.12,852.34,667947,-40.68203801,39.06,87.11,0.38,806.58
806.58,859.03,654860,-44.8436173,58.39,87.46,0.38,752.44
752.44,805.87,909374,-51.91193593,72.74,88.22,0.49,800.03
800.03,755.84,949590,-53.06185011,60.18,87.65,0.57,851.81
851.81,801.2,787944,-49.22748828,65.57,85.867,0.62,857.39
857.39,853.4,695270,-45.21723343,33.95,84.77,0.59,887.68
887.68,852.9,579326,-39.14370346,46.31,85.78,0.53,896.24
896.24,886.89,274086,-33.25630871,15.04,86.55,0.52,816.21
816.21,888.61,605201,-34.64884777,80.55,87.05,0.52,848.81
848.81,817.94,617010,-32.74443994,34.33,86.57,0.47,870.74
870.74,843.6,622188,-29.1298248,45.52,86.7,0.36,845.22
845.22,869.75,586039,-28.00168103,42,86.52,0.2,876.07
876.07,844.43,616537,-24.33773157,61.01,86.82,0.12,909.7
909.7,882.71,655360,-18.50702779,42.5,85.51,0.12,888.67
888.67,906.48,569311,-15.40551311,30.88,85.84,0.13,899.24
899.24,892.17,594213,-11.95679919,22.82,85.45,0.11,873.59
873.59,898.35,551384,-11.16470937,35.9,83.63,0.14,879.73
879.73,871.79,595959,-9.92709245,31.89,83.66,0.15,868.57
868.57,881.07,498239,-9.734576718,26.91,82.13,0.18,913.18
913.18,871.53,600978,-5.914177478,46.09,80.35,0.17,904.42
904.42,908.16,590738,-3.552392575,22.91,78.49,0.12,885.28
885.28,905.98,567500,-3.188345798,33.58,79.78,0.11,887.88
887.88,886.96,670531,-2.659382132,22.45,81.1,0.11,871.63
871.63,887.2,486985,-3.510941857,30.79,81.26,0.11,863.16
863.16,874.31,405197,-4.813777062,20.34,81.45,0.11,868.15
868.15,863.87,154655,-5.381596358,8.35,80.98,0.11,872.8
872.8,869.51,188005,-5.394200122,7.22,81.13,0.09,869.42
869.42,872.37,332343,-5.612232129,16.63,81.53,0.1,890.64
890.64,870.58,362780,-4.026334333,21.7,80.94,0.09,903.25
903.25,890.59,417294,-1.732011736,20.65,81.17,0.14,931.8
931.8,902.99,404827,2.36276536,35.38,81.48,0.08,927.45
927.45,929.17,541391,5.196989406,17.1,82.55,0.11,934.7
934.7,931.17,539262,7.936657939,16.57,82.78,0.09,906.65
906.65,927.45,470494,7.755068808,32.33,82.17,0.11,909.73
909.73,905.73,499155,7.770119274,13.19,81.58,0.1,890.35
890.35,909.91,471650,6.147379675,23.62,82.52,0.09,870.26
870.26,890.4,472505,3.203325806,26.08,83.2,0.1,871.79
871.79,869.79,501747,0.982277039,15,84.25,0.1,842.62
842.62,867.28,540788,-3.096006492,34.86,84.28,0.15,843.74
843.74,841.99,780735.04,-6.166616021,34.55,84.62,0.18,850.12
850.12,844.45,678604,-7.993143533,27.47,84.04,0.19,805.22
805.22,849.64,637523,-12.91486003,45.65,86.13,0.2,840.24
840.24,806.77,646783,-13.8301096,37.42,85.46,0.23,827.5
827.5,839.74,584383,-15.40587368,28.95,85.56,0.21,831.95
831.95,822.16,583216,-16.10989541,32.54,85.58,0.18,836.57
836.57,832.5,603994,-16.10934382,24.84,84.48,0.19,845.71
845.71,837.3,535326,-15.1962126,15.05,84.52,0.18,874.09
874.09,845.73,619918,-12.04368856,32.15,84.49,0.19,845.14
845.14,868.89,506706,-11.74591401,29.94,85.38,0.23,825.88
825.88,845.69,535058,-12.91516856,29.99,85.84,0.23,825.44
825.44,823.09,567327,-13.71916948,17.91,85.95,0.24,838.51
838.51,825.69,588631,-13.15011984,20.62,84.88,0.24,832.23
832.23,837.77,642045,-13.05539297,22.67,85.7,0.24,845.85
845.85,831.75,662403,-11.74590163,30.64,86.09,0.23,868.6
868.6,846.09,648410,-8.771275638,25.33,85.29,0.23,869.89
869.89,868.24,557437,-6.237864664,13.36,84.88,0.22,827.16
827.16,866.87,677016.96,-7.590572708,46.9,85.58,0.24,833.74
833.74,827.41,592646,-8.038984165,15.92,85.71,0.22,835.19
835.19,829.91,647646,-8.183021812,27.42,86.1,0.23,826.84
826.84,833.95,529665,-8.868714876,14.22,86.11,0.22,789.17
789.17,818.61,590782,-12.30988506,37.67,87.76,0.25,788.42
788.42,791.06,574071,-14.92550403,15.74,88.14,0.23,778.94
778.94,787.91,574694,-17.56092625,20.55,87.5,0.21,770.05
770.05,775.87,821059.04,-20.13476502,24.69,86.62,0.2,743.33
743.33,773.25,650930,-24.05335933,35.48,87.33,0.19,773.14
773.14,744.69,723448.96,-24.47136501,32.16,86.89,0.21,764.9
764.9,770.64,748364,-25.17730833,27.23,87.86,0.21,752.83
752.83,765.76,759996.96,-26.40632593,27.67,87.8,0.22,735.09
735.09,749.93,892648,-28.48346137,18.31,88.15,0.22,700.82
700.82,729.57,786828.96,-32.520038,35.39,88.91,0.22,696.33
696.33,704.44,758323.04,-35.67017596,19.37,89.07,0.2,712.87
712.87,698.6,767362,-36.41230483,27.79,88.48,0.21,682.55
682.55,708.27,750724.96,-38.99747925,34.94,89.1,0.2,683.38
683.38,684.04,733183.04,-40.51227425,32.3,88.59,0.2,676.53
676.53,680.76,727732,-41.78383987,22.39,89.17,0.2,719.6
719.6,679.28,861832.96,-38.86812814,43.07,88.62,0.2,721.36
721.36,719.59,728780.96,-36.00039812,18.07,87.63,0.19,750.74
750.74,720.89,732663.04,-30.99963644,37.87,87.36,0.18,756.55
756.55,751.97,678708.96,-26.26491278,15.83,87.26,0.15,753.89
753.89,758.84,788354,-22.46824993,21.16,87,0.2,778.12
778.12,753.88,615680,-17.30473061,28.19,86.88,0.2,794.35
794.35,776.01,909844.96,-11.7673325,37.4,84.1,0.18,784.04
