Closing Price,Open Price,Volume,MACD,ATR,US dollar Index,Interbank Offered Rate,label
9157.49,9168.16,2134867328,-735.438365,342.52,81.4,0.6875,8276.43
8276.43,9016.34,2472608000,-869.8483926,1042.08,82.41,0.70917,9447.57
9447.57,8407.94,1693383552,-871.8183186,1179.19,81.56,0.71417,9547.47
9547.47,9390.5,1849806976,-855.4572256,331.81,82.29,0.7125,8458.45
8458.45,9400.85,1861989504,-919.7632955,1089.02,82.25,0.71167,8693.82
8693.82,8579.57,1714729472,-940.8879566,305.26,82.36,0.7125,9005.59
9005.59,8775.24,1656398336,-921.8457058,350.75,83.08,0.71417,9306.25
9306.25,9139.26,1547894144,-872.4369257,352.92,84.729,0.71417,8674.69
8674.69,9198.14,1605172608,-874.1648966,631.56,85.34,0.71417,8460.98
8460.98,8547.79,2168112640,-882.604818,658.08,84.83,0.72167,7649.08
7649.08,8391.04,1946985856,-943.9260691,813.91,86.53,0.72583,7162.9
7162.9,7568.36,2374355200,-1019.996382,737.7,87.15,0.7275,7621.92
7621.92,7143.34,2407035392,-1031.354759,631.52,86.15,0.72917,8211.9
8211.9,7741.52,2228553472,-981.4365106,589.98,84.48,0.72583,9029.76
9029.76,8269.71,2205716224,-865.8999168,818.95,84.53,0.715,8576.98
8576.98,8958.22,2060189824,-801.6311905,452.78,85.59,0.7125,9114.6
9114.6,8702.77,1648387584,-699.2557361,565.31,84.74,0.53917,9521.24
9521.24,9224.05,2086355200,-578.6398018,406.64,84.57,0.5325,8899.14
8899.14,9373.65,1759617664,-527.1721633,714.53,86.222,0.53,8583
8583,8774.49,2063490816,-506.0600002,633.05,86.09,0.53,9081.43
9081.43,8711.99,1553627264,-443.9912685,523.29,85.87,0.53167,8809.3
8809.3,8965.29,1537729536,-412.0105667,376.87,87.04,0.53333,8695.51
8695.51,8694.91,1537031936,-391.3364492,235.1,87.43,0.53667,8238.64
8238.64,8564.47,1666442752,-407.1245743,547.21,86.9,0.53833,8462.39
8462.39,8378.13,1555689088,-397.0055888,451.21,86.32,0.54333,8522.58
8522.58,8366.88,1460046336,-379.751847,549.16,86.76,0.5475,8328.41
8328.41,8415.6,1442276352,-377.3956464,220.34,87.11,0.5525,8273.22
8273.22,8309.35,1438893824,-375.6514364,254.38,87.46,0.55833,7703.04
7703.04,8149.77,1543177984,-415.4884065,570.18,88.22,0.57583,7910.79
7910.79,7600.35,1852447744,-425.3921476,588.5,87.65,0.58083,8323.93
8323.93,8026.06,1550396800,-395.3466782,446.04,84.77,0.58667,8213.22
8213.22,8229.72,1188740480,-376.1329721,174.37,85.78,0.59167,8373.39
8373.39,8311.24,1166083328,-344.0159891,245.46,85.53,0.6025,8512.27
8512.27,8400.05,1453222784,-303.8539541,181.56,86.55,0.6075,8397.22
8397.22,8464.36,1069235456,-278.1030269,204.99,87.05,0.61417,7863.69
7863.69,8266.32,1360096000,-297.3193315,533.53,86.57,0.61917,8004.1
8004.1,7965.31,1211951744,-297.7857886,192.69,86.7,0.61833,7924.24
7924.24,8030.2,1479349248,-301.1282745,257.85,86.52,0.61333,7917.51
7917.51,7975.05,1393595136,-300.8522361,115.68,86.82,0.6075,8329.05
8329.05,7970.69,1389027456,-264.3780495,440.76,85.51,0.60417,8395.87
8395.87,8362.37,1507515776,-227.4581819,184.75,85.84,0.60333,8660.24
8660.24,8376,1556997120,-174.8508989,328.92,85.45,0.60083,8720.55
8720.55,8642.26,1621329664,-126.8307098,201.44,83.63,0.60083,8235.87
8235.87,8599.12,2265723904,-126.4266218,632.56,83.66,0.60083,8664.66
8664.66,8349.85,1292909568,-90.4637994,464.3,82.13,0.60083,8568.02
8568.02,8608.4,1321373056,-68.96604623,193.42,80.35,0.60083,8612.52
8612.52,8658.22,1483530752,-47.78728183,315.58,78.49,0.595,8667.23
8667.23,8565.16,1388529408,-26.2853179,193.52,79.78,0.58417,8588.52
8588.52,8640.22,1379795072,-15.41836248,172.66,81.1,0.75083,8723.78
8723.78,8602.5,1097824768,4.061313277,162.66,81.26,0.64583,8517.1
8517.1,8630.25,1007884416,2.789591282,247.09,80.98,0.63167,8599.5
8599.5,8531.51,611991488,8.334657054,82.4,80.98,0.62083,8739.52
8739.52,8642.14,758019200,23.75378657,141.26,81.13,0.60667,8747.17
8747.17,8726.31,831878784,36.17385913,125.07,81.53,0.45333,8859.56
8859.56,8716.28,608094528,54.45803155,156.61,80.94,0.40583,9043.12
9043.12,8991.21,849051904,82.80559647,267.82,82.55,0.38167,9080.84
9080.84,9130.01,1548324224,107.0805764,141.09,82.78,0.37,9239.24
9239.24,9133.8,2056256384,137.5150414,244.51,82.17,0.35667,8876.42
8876.42,9143.21,1499335424,130.8496786,362.82,81.58,0.34833,8836.8
8836.8,8932.71,1369950336,120.9757941,183.65,82.52,0.33917,8413.91
8413.91,8732.63,1356455552,78.12638839,431.3,84.25,0.3325,8438.45
8438.45,8425.75,1327269632,45.62219428,156.91,84.28,0.32917,8023.31
8023.31,8309.38,1583455360,-13.48054691,440.72,84.62,0.325,8230.15
8230.15,8125.2,1405986176,-43.13243192,260.6,84.04,0.32167,8256.85
8256.85,8318.26,1026442496,-63.74251355,129.84,85.03,0.32,8065.79
8065.79,8187.14,1279496064,-94.40485655,294.39,86.13,0.31833,7901.64
7901.64,7949.96,1470816256,-130.4468078,236.49,85.46,0.31417,8051.74
8051.74,7988.3,1425926016,-145.2244414,241.85,85.56,0.3175,7745.25
7745.25,7965.41,1197915904,-179.5967247,306.49,85.58,0.31667,7682.14
7682.14,7714.26,1150453120,-209.514306,136.12,84.48,0.31417,8061.07
8061.07,7782.9,1524925312,-200.3383448,433.01,84.52,0.315,8106.29
8106.29,8052.25,1400406272,-187.2588499,235.04,84.49,0.31417,8251.24
8251.24,8201.16,1602929664,-163.3144154,199.09,85.38,0.3125,7994.05
7994.05,8142.88,1479584512,-163.2099792,328.85,85.84,0.3125,7873.98
7873.98,7908.51,1597237120,-170.8464467,198.78,85.95,0.3125,7825.51
7825.51,7862.95,1815476992,-178.7490187,283.61,84.88,0.31167,8038.94
8038.94,7897.24,1568322432,-165.8777117,259.46,85.7,0.31,7949.65
7949.65,7985.53,1694517248,-161.0258591,192.92,86.09,0.30833,8076.62
8076.62,8054.27,1472737664,-145.2608365,219.39,85.29,0.30417,7969.03
7969.03,8178.07,1404571136,-139.836607,288.68,84.88,0.30167,7945.94
7945.94,8066.94,1385873152,-135.8352124,207.52,85.58,0.30083,7705.36
7705.36,7842.53,1459249152,-150.3438038,260.26,86.1,0.29917,7779.4
7779.4,7789.35,1496514688,-154.0912894,182.38,86.11,0.2975,7750.17
7750.17,7732.68,1105633408,-157.6030655,109.51,86.46,0.29667,7645.51
7645.51,7690.13,1208208000,-166.9073565,134.23,87.76,0.29667,7534.44
7534.44,7539.96,1493519232,-181.1552499,166.33,88.14,0.29667,7557.65
7557.65,7604.22,1382231168,-188.4021721,108.25,87.5,0.29583,7416.38
7416.38,7544.07,1407572224,-203.2023286,175.32,86.62,0.29417,7376.16
7376.16,7314.3,1642783488,-215.6906298,207.75,87.33,0.29417,7268.56
7268.56,7266.68,1468055168,-231.6003742,221,86.89,0.29417,7461.22
7461.22,7368.44,1653243904,-226.0570644,202.47,87.86,0.29417,7457.93
7457.93,7470.6,1431264896,-219.4003166,166.75,87.8,0.29333,7568.42
7568.42,7463.42,1406987136,-202.8706103,175.37,88.15,0.29333,7280.15
7280.15,7454.28,1254416256,-210.6039673,333.46,88.91,0.29333,7229.72
7229.72,7177.79,1466569728,-218.2857261,199.67,89.07,0.2925,7290.96
7290.96,7146.71,1598563456,-216.9313692,216.02,88.48,0.28667,7433.49
7433.49,7336.02,1853917952,-202.0281966,241.91,89.1,0.28333,7173.1
7173.1,7328.29,1595178752,-208.8214579,266.42,88.59,0.27917,7086.03
7086.03,7191.13,1328214784,-218.7098369,212.53,89.17,0.27583,7054.98
7054.98,7059.77,1329536640,-226.4416457,79.49,88.62,0.27417,7376.12
7376.12,7165.39,1558188416,-204.3007934,338.83,87.63,0.26917,7198.25
7198.25,7320.45,1531759360,-198.8148174,177.87,87.36,0.26583,7569.28
7569.28,7301.12,2170307840,-162.6531574,373.2,87.26,0.26333,7704.15
7704.15,7630.2,1504506496,-121.7089149,185.47,87,0.2575,7949.13
7949.13,7767.34,1714338176,-68.70053212,262.88,86.88,0.2525,7972.17
7972.17,8006.86,1767899392,-24.54888712,159.07,84.1,0.24833,7945.96
7945.96,8017.93,1379678848,8.231790721,131.6,83.07,0.24583,8215.53
8215.53,7943.14,1783852928,55.32500794,306.58,83.47,0.4475,8488.3
8488.3,8334.68,1950085120,113.350349,288.88,84.1,0.435,8479.99
8479.99,8499.69,1620079360,156.8571507,160.45,83.77,0.42583,8636.33
8636.33,8430.22,1352081408,201.6276973,256.29,84.12,0.41833,8626.97
8626.97,8711.72,1578962944,233.6599181,216.21,85.14,0.40667,8236.08
8236.08,8621.85,1641982464,224.9114881,414.98,85.67,0.27167,8109.53
8109.53,8199.43,1787687552,205.3990545,295.29,85.6,0.25167,8351.91
8351.91,8173.36,1570041600,207.105962,267.29,85.47,0.24182,8719.78
8719.78,8453.73,2129391232,235.4288558,389.76,84.3,0.23818,8749.84
8749.84,8814.1,2174586624,257.334156,187.46,84.17,0.23364,8857.93
8857.93,8856.84,1735236352,280.1864093,242.22,84.73,0.22818,8832.85
8832.85,8838.66,1505553280,292.8969051,105.53,85.23,0.22,8595.01
8595.01,8746.73,1679072256,280.5444229,276.1,85.2,0.21636,8916.06
8916.06,8665.16,1919986944,293.280291,325.85,85.66,0.21091,8964.11
8964.11,9041.23,2286773504,303.7493581,212.11,85.52,0.20909,8924.43
8924.43,8930.35,1674714752,305.3247314,136.35,84.59,0.20727,8842.68
8842.68,8955.9,1817985792,296.5581465,211.81,84.78,0.20727,8742.96
8742.96,8777.68,1583507840,278.3552878,161.65,84.95,0.20727,8755.26
8755.26,8848.43,1729471488,261.9028454,309.38,85.19,0.20455,8907.58
8907.58,8854.33,1842975872,258.1789905,198.08,85.88,0.20273,8924.75
8924.75,8899.59,1678624000,253.6889163,120.08,86.67,0.20091,8711.33
8711.33,8802.09,1754281728,230.2550528,311.99,86.5,0.19909,8727.3
8727.3,8777.53,1949891456,210.5451592,119.63,86.28,0.19727,8847.01
8847.01,8776.94,1862222336,202.2530755,212.75,85.42,0.19636,8707.99
8707.99,8832.1,2121827712,182.3616358,157.91,84.76,0.19545,8726.34
8726.34,8783.34,1522586368,166.1627969,192.02,85.72,0.19545,8493.77
8493.77,8678.28,1695878656,133.0252132,314.87,85.2,0.19545,8828.26
8828.26,8615.45,1748548992,132.229725,351,84.79,0.19455,8977.37
8977.37,8848.84,1547640832,141.9944026,190.19,84.51,0.19455,9385.7
9385.7,9102.35,2389322752,180.5999545,408.33,83.84,0.19455,9432.83
9432.83,9351.4,2201174528,212.5480085,114.86,82.43,0.19455,9451.98
9451.98,9460.72,2307633664,236.683971,161.16,82.8,0.19455,9298.61
9298.61,9358.25,1883099392,240.6620159,153.37,82.29,0.19455,9340.49
9340.49,9305.79,1759803136,244.3769855,100.58,82.57,0.19455,9093.73
9093.73,9212.3,1693301760,224.8180928,288.08,82.4,0.19455,9265.02
9265.02,9150.21,1719266048,220.5963041,178.35,82.94,0.19455,9038.69
9038.69,9167.05,1477158784,196.719902,267.28,82.55,0.19364,9290.29
9290.29,9172.56,1670453504,195.8421523,288.06,82.1,0.19273,9344.64
9344.64,9372.72,1432016000,197.2582497,109.11,81.18,0.19091,9264.15
9264.15,9280.35,1331765760,189.6989158,154.72,80.49,0.19182,9225.81
9225.81,9156.14,1347404800,178.5560882,141.13,80.04,0.19182,9347
9347,9245.95,1291517440,177.4587037,176.95,80.01,0.19182,9310.81
9310.81,9364.22,1211899264,171.6896566,147.85,80.09,0.19182,9438.77
9438.77,9426.62,1489261056,175.4208059,180.32,80.76,0.19182,9451.39
9451.39,9353.33,1556552960,177.3516972,139.33,80.56,0.19091,9522.5
9522.5,9478.21,1757872640,182.5159944,95.98,79.23,0.19091,9677.75
9677.75,9517.49,1775946880,196.8667572,200.47,79.19,0.19091,9704.31
9704.31,9774.55,1847042816,207.985483,115.72,78.45,0.19,9741.67
9741.67,9723.82,1406033152,217.3068154,70.24,79.5,0.19,9668.96
9668.96,9690.93,1758867328,216.3331947,89.01,79.44,0.19,9768.01
9768.01,9752.51,1561275008,221.0064754,106.02,80.67,0.19,9865.63
9865.63,9829.28,1558312448,229.9366358,146.06,80.87,0.19,9786.82
9786.82,9824.17,1589664384,228.026002,109.82,79.81,0.19,9991.49
9991.49,9833.64,1928115456,240.2574314,204.67,80.32,0.19,9981.33
9981.33,9992.98,2111821696,246.2919994,63.25,79.6,0.19,10135.82
10135.82,10088.21,2972190464,260.5371795,189.49,80.13,0.19,10039.67
10039.67,10126.55,1581731456,261.0587629,106.23,81.16,0.19,9752.88
9752.88,9914.4,1745953920,235.6145475,286.79,80.75,0.19,9840.85
9840.85,9705.73,1794125696,220.0121047,139.79,80.29,0.19,9703.72
9703.72,9778.35,1686739840,194.3415629,191.02,80.58,0.19,9786.26
9786.26,9757.85,1748546560,178.5989838,119.11,80.36,0.19,9826.27
9826.27,9788.07,1498636672,167.4214192,123.76,80.84,0.19091,9549.61
9549.61,9695.76,1855960192,134.686388,314.82,79.85,0.18909,9590.32
9590.32,9596.78,1530544256,110.7519175,90.17,80.54,0.18818,9796.08
9796.08,9628.18,1611853824,107.1516125,280.82,80.34,0.18818,9877.39
9877.39,9852.92,1358146048,109.5960276,99.05,79.9,0.18909,9783.47
9783.47,9866.28,1601506560,102.7700163,195.1,79.9,0.18636,9958.44
9958.44,9896.56,1432591744,110.2085542,216.83,80.16,0.18636,9939.93
9939.93,9889.34,1581323392,113.3039495,212.18,79.61,0.18545,9876.15
9876.15,9993.77,1416868608,109.3500403,124.23,80.55,0.18455,9816.07
9816.07,9751.69,1270778240,100.2133874,184.99,80.41,0.18455,9680.87
9680.87,9738.49,1097569792,81.12782296,165.32,80.38,0.18455,9647.79
9647.79,9713.62,1428304256,62.61135145,114.75,80.7,0.18455,9420.75
9420.75,9548.81,1478755584,29.27917175,239.81,80.66,0.18455,9291.06
9291.06,9342.33,1483913600,-7.51509065,129.69,79.91,0.18455,9287.28
9287.28,9338.76,1513652224,-36.55840062,104.91,80.32,0.18455,9050.33
9050.33,9242.13,1687851520,-77.798505,293.53,80.06,0.18455,9261.81
9261.81,9173.14,1679808256,-92.35233601,234.05,80.03,0.18455,9269.25
9269.25,9307.45,1695996672,-102.1089576,82.91,79.4,0.18455,9344.16
9344.16,9393.98,1784302336,-102.613673,220.42,79.24,0.18455,9395.32
9395.32,9413.86,1221430784,-97.75857915,76.45,79.48,0.18455,9652.02
9652.02,9512.52,1513401600,-72.36317991,256.7,78.83,0.18455,9723.16
9723.16,9642.79,1537501184,-45.96686222,141.86,78.79,0.18455,9792.94
9792.94,9712.1,1718033920,-19.19565192,157.45,79.03,0.18455,9944.55
9944.55,9909.4,2054887424,14.09194193,157.1,78.84,0.18455,10088.66
10088.66,10020.87,1611754624,51.50732808,235.04,78.63,0.18455,10087.26
10087.26,10116.89,1384889856,80.12271806,67.26,78.86,0.18455,10113.24
10113.24,10035.91,1467347072,103.7015824,126.04,79.52,0.18455,10165.21
10165.21,10155.71,1474283136,125.1390221,102.17,79.33,0.18455,10356.83
10356.83,10275.14,1827289600,155.7945772,193.86,78.35,0.18455,10352.47
10352.47,10355.23,1619705984,177.6892192,58.57,77.57,0.18455,10375.01
10375.01,10438.4,1754252416,194.6162554,126.72,77.72,0.18455,10252.53
10252.53,10405.05,1345537280,195.8898448,153.57,77.57,0.18455,10388.09
10388.09,10266.01,1464668544,205.4692116,173.61,78,0.18455,10412.09
10412.09,10365.71,1405288832,212.5474139,163.05,78.9,0.18455,10524.26
10524.26,10530.62,1478293888,224.6188554,173.28,79.18,0.18455,10585.46
10585.46,10514.74,1352748416,236.3988298,75.15,79.17,0.18455,10435
10435,10486.36,1240550528,230.9316436,151.37,78.84,0.18455,10517.19
10517.19,10508.09,1259015808,230.5730031,121.28,78.44,0.18455,10597.33
10597.33,10551.33,1425584384,234.0573389,113.19,78.72,0.18455,10268.61
10268.61,10521.02,1340407552,207.8972335,328.72,79.34,0.18455,10284.96
10284.96,10208.12,1266498176,186.3364987,143.96,78.98,0.18455,10204
10204,10269.97,1380755456,160.8623446,132.06,78.48,0.18455,10383.41
10383.41,10254.53,1369730176,153.3826815,203.3,78.43,0.18455,10238.2
10238.2,10375.22,1542726784,134.1908921,241.19,78.08,0.18455,10581.05
10581.05,10389.57,1224756096,144.9752065,352.8,78.24,0.18455,10497.36
10497.36,10515.57,1269551744,145.0961912,111.36,78.29,0.18455,10639.71
10639.71,10554.44,1320627840,154.8930175,171.38,78.66,0.18455,10473.97
10473.97,10570.78,1387416960,147.5820066,238.88,78.11,0.18455,10534.14
10534.14,10546.88,1302359168,144.9720463,88.81,78.31,0.18455,10492.53
10492.53,10608.16,1523947008,137.9557864,343.1,78.16,0.18455,10530.06
10530.06,10453.37,1144949376,133.8804171,138.68,78.74,0.18455,10280.46
10280.46,10378.08,1381191168,109.25065,314.46,78.42,0.18455,10214.64
10214.64,10240.02,1175274240,83.45820404,105.45,78.43,0.18455,10187.11
10187.11,10256.49,1312701952,60.10323123,113.23,78.19,0.18455,10320.94
10320.94,10288.56,971024320,51.79613593,139.34,77.99,0.18455,10393.23
10393.23,10353.51,1180292352,50.46418222,92.73,77.28,0.18455,10312.14
10312.14,10343.8,1408310912,42.3768204,144.12,77.08,0.18455,10513.67
10513.67,10385.35,1333824512,51.63410877,209,76.82,0.18455,10444.33
10444.33,10519.33,1892531456,52.76715113,114.26,76.73,0.18455,10202.06
10202.06,10388.32,1217912448,33.72714555,273.59,76.63,0.18364,10217.62
10217.62,10255.73,1012709952,19.6666609,109.17,76.51,0.18273,10270.77
10270.77,10288.72,1367667968,12.66637621,176.94,76.25,0.18273,10443.8
10443.8,10373.25,1446954880,20.84043948,173.03,76.2,0.20636,10370.54
10370.54,10379.21,1745463040,21.16301965,151.3,76.44,0.20818,10544.22
10544.22,10405.53,1683671936,35.0293942,196.44,76.87,0.21091,10265.98
10265.98,10395.45,1416390272,23.29838402,315.62,76.68,0.21182,10009.52
10009.52,10136.24,1592977408,-6.616434601,294.93,76.93,0.21273,10100.2
10100.2,10089.11,1356935808,-22.7448374,116.36,77.06,0.19727,10133.23
10133.23,10105.17,1210571520,-32.4869782,74.35,76.7,0.19545,9978.64
9978.64,10072.64,1348782592,-52.08145343,168.17,77.18,0.19364,9731.87
9731.87,9848.07,1652055552,-86.52508556,264.46,77.03,0.19273,9674.49
9674.49,9733.07,1450419200,-117.1021183,82.25,76.7,0.19182,9691.8
9691.8,9744.42,1547088000,-138.3431312,115.75,76.29,0.19182,9799.6
9799.6,9750.24,1755964928,-144.8089603,129.94,76.4,0.19182,9832.47
9832.47,9806.03,1392373120,-145.6024281,117.19,75.9,0.19182,10016.39
10016.39,9893.63,1548708224,-129.893123,183.92,76.34,0.19091,10076.56
10076.56,10066.85,1325179648,-111.3051133,100.33,75.82,0.19091,10060.21
10060.21,10096.01,1620888832,-96.77769701,79.77,75.46,0.19091,10238.65
10238.65,10194.91,1484422144,-70.05840851,212.41,75.45,0.19091,10257.56
10257.56,10276.4,1524359680,-46.81761657,74.17,75.58,0.19091,10236.51
10236.51,10179.46,1395535872,-29.75468708,139.11,75.23,0.19091,10336.84
10336.84,10329.3,1391715840,-8.043677517,121.08,75.51,0.19091,10333.39
10333.39,10292.39,1333730304,8.782824877,58.06,75.12,0.19,10267.17
10267.17,10251.09,1543689856,16.58338573,173.73,75.09,0.19,10282.99
10282.99,10335.34,1468252160,23.7679461,97,75.45,0.19,10362.62
10362.62,10271.84,1275535744,35.4782661,146.85,76.03,0.18909,10212.46
10212.46,10283.46,1433236224,32.27013201,160.69,76.14,0.18909,10075.05
10075.05,10182.14,1349034240,18.42740437,152.07,76.44,0.18909,9891.1
9891.1,9941.57,2038294784,-7.302110504,224.93,75.94,0.18818,10034.74
10034.74,10006.84,1456278784,-15.91888585,158.49,76.39,0.18727,9802.95
9802.95,9903.77,1284652416,-40.97887923,298.6,76.04,0.18727,9844.31
9844.31,9785.28,1193117952,-56.84640819,77.09,75.78,0.18727,9717.44
9717.44,9803.5,1471436672,-78.75109432,152.62,75.73,0.18727,9789.35
9789.35,9812.73,1414636288,-89.27902681,132.28,75.77,0.18727,9808.99
9808.99,9777.64,1175844480,-94.94325852,114.31,75.04,0.18727,9870.73
9870.73,9904.68,1303520384,-93.37394424,170.47,74.99,0.18727,9871.68
9871.68,9890.18,1227304064,-91.00455049,99.72,75.07,0.18727,9804.49
9804.49,9921.45,1235900800,-93.47098501,155.08,75.67,0.18727,9770.31
9770.31,9793.19,1229316352,-97.06479001,85.82,75.29,0.18727,9791.18
9791.18,9784.14,1408334208,-97.10945444,76.72,74.9,0.18727,9729.93
9729.93,9834.58,1387038592,-100.9238274,132.36,75.28,0.18727,9676.8
9676.8,9723.23,1705750656,-107.0004577,156.98,75.06,0.18727,9549.47
9549.47,9691.86,2030167808,-120.6993509,195.79,75.26,0.18727,9497.68
9497.68,9460.21,1631722880,-134.1880068,125.81,75.6,0.18727,9401.58
9401.58,9511,1364746496,-150.8929309,113.21,75.11,0.18727,9441.64
9441.64,9381.9,1451873408,-159.0655873,87.37,74.26,0.18727,9383.24
9383.24,9354.8,1466017920,-168.3146419,132.25,74.77,0.18727,9081.52
9081.52,9257.2,1763501568,-197.7117685,306.83,74.9,0.18727,9345.55
9345.55,9189.17,1856526464,-197.4283575,272.22,74.81,0.18727,9572.2
9572.2,9281.82,2128482176,-176.8760742,339,74.44,0.18636,9608.94
9608.94,9551.79,1672619648,-155.8273499,129.17,74.63,0.17909,9977.67
9977.67,9707.02,1920395264,-108.146015,368.73,74.8,0.17545,10022.59
10022.59,10019.24,1799817600,-65.97304867,119.76,75.77,0.17273,10167.6
10167.6,10131.9,1643240192,-20.61197195,181.99,75.75,0.17182,10140.47
10140.47,10079.81,1500099840,12.99801091,87.79,76.22,0.17091,10004.72
10004.72,10048.94,1489585024,28.35343326,154.5,76.01,0.17,9862.82
9862.82,9964.05,1620369152,28.74126065,201.7,76.01,0.16636,10107.87
